Time (s),Red,IR,filtered,isZeroX
67.38,2819043,3112179,0,0
67.42,2819085,3112245,0,0
67.45,2819072,3112301,0,0
67.50,2819066,3112336,0,0
67.54,2819107,3112322,0,0
67.58,2819069,3112302,0,0
67.62,2819059,3112316,0,0
67.66,2819084,3112342,0,0
67.72,2819081,3112352,0,0
67.76,2819100,3112412,0,0
67.80,2819123,3112408,0,0
67.84,2819121,3112430,0,0
67.88,2819122,3112436,0,0
67.92,2819156,3112520,0,0
67.96,2819149,3112521,0,0
68.00,2819126,3112447,0,0
68.04,2819023,3112196,0,0
68.12,2818952,3112000,0,0
68.16,2818972,3112026,0,0
68.20,2818999,3112091,0,0
68.24,2819001,3112196,0,0
68.28,2819014,3112175,0,0
68.34,2818983,3112168,0,0
68.39,2818970,3112174,0,0
68.42,2818962,3112135,0,0
68.47,2818967,3112152,0,0
68.50,2818977,3112213,0,0
68.55,2819081,3112332,0,0
68.58,2819144,3112452,0,0
68.62,2819184,3112545,0,0
68.67,2819173,3112583,0,0
68.70,2819158,3112565,0,0
68.75,2819185,3112585,0,0
68.79,2819135,3112496,0,0
68.83,2819083,3112267,0,0
68.87,2819003,3112007,0,0
68.91,2818972,3111885,0,0
68.97,2818964,3111847,0,0
69.01,2818940,3111899,0,0
69.05,2818996,3111991,0,0
69.09,2818993,3112024,0,0
69.13,2818984,3112008,0,0
69.17,2819004,3112006,0,0
69.17,2819011,3112029,0,0
69.21,2819031,3112054,0,0
69.25,2819005,3112069,0,0
69.29,2819005,3112129,0,0
69.33,2819014,3112134,0,0
69.37,2818986,3112108,0,0
69.41,2819013,3112130,0,0
69.45,2819015,3112170,0,0
69.49,2819036,3112172,0,0
69.53,2819004,3112110,0,0
69.59,2818894,3111829,0,0
69.63,2818750,3111481,0,0
69.67,2818636,3111230,0,0
69.71,2818597,3111186,0,0
69.75,2818636,3111302,0,0
69.80,2818702,3111496,0,0
69.83,2818742,3111566,0,0
69.88,2818693,3111514,0,0
69.92,2818653,3111418,0,0
69.95,2818610,3111341,0,0
70.02,2818578,3111238,0,0
70.06,2818590,3111221,0,0
70.10,2818573,3111204,0,0
70.14,2818596,3111216,0,0
70.18,2818609,3111252,0,0
70.22,2818631,3111310,0,0
70.24,2818612,3111306,0,0
70.28,2818623,3111288,0,0
70.32,2818583,3111170,0,0
70.36,2818342,3110555,0,0
70.40,2817874,3109220,0,0
70.44,2817460,3107935,0,0
70.48,2817216,3107151,0,0
70.52,2817164,3107114,0,0
70.56,2817302,3107484,0,0
70.60,2817465,3108021,0,0
70.64,2817614,3108452,0,0
70.68,2817652,3108554,0,0
70.72,2817633,3108509,0,0
70.76,2817629,3108458,0,0
70.80,2817602,3108438,0,0
70.86,2817580,3108382,0,0
70.90,2817590,3108452,0,0
70.94,2817613,3108574,0,0
70.98,2817653,3108701,0,0
71.02,2817728,3108936,0,0
71.06,2817784,3109041,0,0
71.07,2817770,3109040,0,0
71.11,2817523,3108349,0,0
71.15,2817064,3107022,0,0
71.19,2816794,3106312,0,0
71.23,2816805,3106356,0,0
71.29,2816970,3106880,0,0
71.33,2817175,3107424,0,0
71.37,2817286,3107670,0,0
71.41,2817290,3107721,0,0
71.45,2817284,3107722,0,0
71.51,2817290,3107724,0,0
71.55,2817290,3107748,0,0
71.59,2817356,3107904,0,0
71.63,2817423,3108031,0,0
71.67,2817443,3108098,0,0
71.71,2817472,3108146,0,0
71.71,2817459,3108162,0,0
71.75,2817439,3108168,0,0
71.79,2817490,3108308,0,0
71.83,2817520,3108369,0,0
71.87,2817354,3107952,0,0
71.93,2816984,3106901,0,0
71.97,2816609,3105817,0,0
72.01,2816477,3105462,0,0
72.05,2816570,3105774,0,0
72.09,2816784,3106386,0,0
72.15,2817048,3107116,0,0
72.19,2817092,3107281,0,0
72.23,2817147,3107387,0,0
72.27,2817216,3107623,0,0
72.31,2817289,3107839,0,0
72.36,2817355,3108038,0,0
72.40,2817454,3108279,0,0
72.44,2817508,3108412,0,0
72.48,2817552,3108544,0,0
72.52,2817585,3108694,0,0
72.58,2817668,3108844,0,0
72.62,2817693,3108982,0,0
72.66,2817608,3108736,0,0
72.70,2817268,3107833,0,0
72.74,2817018,3107098,0,0
72.78,2816966,3107002,0,0
72.80,2817106,3107345,0,0
72.84,2817288,3107876,0,0
72.88,2817416,3108228,0,0
72.92,2817456,3108369,0,0
72.96,2817453,3108346,0,0
73.00,2817447,3108311,0,0
73.04,2817453,3108380,0,0
73.08,2817488,3108510,0,0
73.12,2817537,3108616,0,0
73.16,2817587,3108749,0,0
73.22,2817623,3108852,0,0
73.27,2817626,3108886,0,0
73.31,2817638,3108925,0,0
73.34,2817661,3108946,0,0
73.39,2817664,3108992,0,0
73.42,2817568,3108755,0,0
73.42,2817214,3107810,0,0
73.47,2816901,3106876,0,0
73.50,2816819,3106654,0,0
73.55,2816931,3106981,0,0
73.58,2817110,3107502,0,0
73.63,2817234,3107871,0,0
73.67,2817287,3107987,0,0
73.71,2817270,3107956,0,0
73.75,2817217,3107830,0,0
73.79,2817214,3107822,0,0
73.85,2817219,3107849,0,0
73.89,2817227,3107873,0,0
73.93,2817253,3107941,0,0
73.97,2817247,3107951,0,0
74.01,2817273,3107968,0,0
74.07,2817261,3108044,0,0
74.11,2817283,3108074,0,0
74.15,2817280,3108134,0,0
74.19,2817082,3107557,0,0
74.23,2816570,3106067,0,0
74.27,2816144,3104861,0,0
74.28,2816007,3104631,0,0
74.31,2816154,3104951,0,0
74.36,2816381,3105538,0,0
74.39,2816570,3106071,0,0
74.44,2816653,3106335,0,0
74.47,2816629,3106308,0,0
74.52,2816604,3106288,0,0
74.56,2816640,3106397,0,0
74.59,2816696,3106560,0,0
74.64,2816776,3106789,0,0
74.67,2816848,3106942,0,0
74.72,2816907,3107112,0,0
74.75,2816955,3107229,0,0
74.80,2816966,3107303,0,0
74.83,2816994,3107432,0,0
74.88,2817034,3107561,0,0
74.92,2816810,3106943,0,0
74.96,2816335,3105525,0,0
75.00,2815959,3104476,0,0
75.04,2815903,3104367,0,0
75.10,2816041,3104777,0,0
75.14,2816259,3105391,0,0
75.18,2816418,3105861,0,0
75.22,2816505,3106094,0,0
75.26,2816531,3106156,0,0
75.30,2816534,3106191,0,0
75.34,2816591,3106299,0,0
75.38,2816639,3106489,0,0
75.42,2816723,3106740,0,0
75.46,2816791,3106934,0,0
75.52,2816871,3107117,0,0
75.56,2816895,3107225,0,0
75.60,2816935,3107352,0,0
75.64,2816981,3107510,0,0
75.68,2817007,3107561,0,0
75.72,2816801,3107002,0,0
75.74,2816352,3105679,0,0
75.78,2816041,3104753,0,0
75.82,2816008,3104695,0,0
75.86,2816181,3105152,0,0
75.90,2816395,3105795,0,0
75.95,2816628,3106419,0,0
75.99,2816634,3106415,0,0
76.03,2816608,3106388,0,0
76.07,2816643,3106491,0,0
76.17,2816748,3106798,0,0
76.21,2816815,3106992,0,0
76.25,2816863,3107119,0,0
76.29,2816881,3107198,0,0
76.33,2816913,3107286,0,0
76.39,2816933,3107382,0,0
76.43,2816928,3107394,0,0
76.47,2816684,3106735,0,0
76.51,2816264,3105431,0,0
76.55,2815961,3104548,0,0
76.59,2815944,3104539,0,0
76.59,2816118,3105012,0,0
76.64,2816308,3105572,0,0
76.67,2816432,3105953,0,0
76.72,2816500,3106115,0,0
76.75,2816462,3106012,0,0
76.81,2816433,3105949,0,0
76.86,2816466,3106065,0,0
76.89,2816507,3106219,0,0
76.94,2816564,3106365,0,0
76.97,2816630,3106517,0,0
77.04,2816663,3106600,0,0
77.08,2816711,3106756,0,0
77.12,2816730,3106882,0,0
77.16,2816797,3107006,0,0
77.20,2816792,3107052,0,0
77.24,2816536,3106314,0,0
77.24,2816070,3104946,0,0
77.28,2815824,3104246,0,0
77.32,2815834,3104321,0,0
77.36,2816036,3104837,0,0
77.40,2816261,3105502,0,0
77.46,2816400,3105923,0,0
77.50,2816478,3106109,0,0
77.54,2816488,3106183,0,0
77.58,2816518,3106240,0,0
77.62,2816543,3106325,0,0
77.68,2816628,3106532,0,0
77.72,2816698,3106802,0,0
77.76,2816773,3106974,0,0
77.80,2816820,3107149,0,0
77.84,2816854,3107270,0,0
77.88,2816899,3107381,0,0
77.89,2816944,3107551,0,0
77.93,2817007,3107617,0,0
77.97,2816771,3107045,0,0
78.01,2816435,3106053,0,0
78.05,2816197,3105322,0,0
78.11,2816220,3105380,0,0
78.15,2816392,3105880,0,0
78.19,2816550,3106349,0,0
78.23,2816647,3106617,0,0
78.27,2816672,3106711,0,0
78.31,2816629,3106587,0,0
78.35,2816624,3106547,0,0
78.39,2816635,3106633,0,0
78.43,2816684,3106761,0,0
78.47,2816719,3106870,0,0
78.51,2816762,3106957,0,0
78.55,2816769,3107046,0,0
78.59,2816799,3107111,0,0
78.63,2816821,3107157,0,0
78.67,2816858,3107265,0,0
78.73,2816798,3107130,0,0
78.77,2816432,3106057,0,0
78.81,2815965,3104695,0,0
78.85,2815733,3104084,0,0
78.89,2815752,3104118,0,0
78.93,2815904,3104563,0,0
78.95,2816091,3105097,0,0
78.99,2816214,3105431,0,0
79.03,2816234,3105514,0,0
79.07,2816204,3105475,0,0
79.11,2816223,3105518,0,0
79.16,2816341,3105857,0,0
79.20,2816422,3106066,0,0
79.24,2816467,3106248,0,0
79.28,2816484,3106302,0,0
79.36,2816563,3106472,0,0
79.40,2816622,3106678,0,0
79.44,2816561,3106488,0,0
79.48,2816183,3105367,0,0
79.58,2815546,3103558,0,0
79.62,2815601,3103735,0,0
79.66,2815748,3104203,0,0
79.70,2815963,3104789,0,0
