Time (s),Red,IR,filtered,isZeroX
70.23,3360661,3384170,75.06,0
70.27,3360743,3384297,74.27,0
70.31,3360723,3384304,76.16,0
70.33,3360786,3384413,77.39,0
70.37,3360804,3384436,76.6,0
70.41,3360692,3384255,65.22,0
70.45,3360526,3383784,22.95,0
70.49,3360331,3383375,-60.25,1
70.53,3360369,3383462,-160.29,0
70.57,3360421,3383602,-225.69,0
70.61,3360499,3383807,-222.78,0
70.65,3360575,3384024,-155.78,0
70.69,3360579,3384038,-55.9,0
70.73,3360638,3384100,39.42,0
70.77,3360595,3384067,104.67,0
70.81,3360650,3384159,131.15,0
70.85,3360662,3384181,128.96,0
70.89,3360639,3384215,110.58,0
70.95,3360721,3384296,86.97,0
70.99,3360705,3384294,69.73,0
71.03,3360732,3384365,59.12,0
71.07,3360709,3384302,49.11,0
71.11,3360742,3384358,36.67,0
71.15,3360700,3384335,20.93,0
71.16,3360666,3384287,-1.37,1
71.20,3360496,3383929,-38.74,0
71.24,3360321,3383506,-101.51,0
71.28,3360286,3383387,-179.51,0
71.32,3360322,3383479,-235.27,0
71.36,3360384,3383688,-236.02,0
71.40,3360479,3383848,-175.72,0
71.44,3360544,3383983,-72.8,0
71.48,3360592,3384064,40.09,0
71.52,3360578,3384021,129.4,0
71.58,3360644,3384076,177.89,0
71.62,3360644,3384116,189.42,0
71.66,3360696,3384256,176.35,0
71.70,3360730,3384329,153.11,0
71.74,3360786,3384427,131.58,0
71.78,3360820,3384487,116.26,0
71.82,3360847,3384514,104.59,0
71.86,3360862,3384538,90.6,0
71.90,3360888,3384622,71.03,0
71.94,3360862,3384602,44.43,0
71.98,3360799,3384429,6.6,0
72.02,3360606,3383930,-52.16,1
72.06,3360413,3383593,-140.49,0
72.10,3360402,3383602,-240.39,0
72.14,3360442,3383716,-306.08,0
72.20,3360598,3384052,-298.75,0
72.24,3360628,3384121,-216.08,0
72.28,3360585,3384079,-99.77,0
72.32,3360617,3384065,1.3,0
72.36,3360634,3384155,67.76,0
72.42,3360626,3384209,99.86,0
72.46,3360682,3384303,107.19,0
72.50,3360694,3384371,104.81,0
72.54,3360724,3384452,101.56,0
72.58,3360757,3384519,100.25,0
72.63,3360812,3384563,102.71,0
72.67,3360821,3384627,106.8,0
72.71,3360807,3384631,103.92,0
72.75,3360826,3384614,88.26,0
72.79,3360604,3384155,50.67,0
72.85,3360487,3383760,-22.34,1
72.89,3360539,3383941,-110.52,0
72.93,3360639,3384182,-163.99,0
72.97,3360662,3384282,-157.05,0
73.01,3360634,3384298,-108.16,0
73.07,3360641,3384324,-51.35,0
73.11,3360614,3384310,-8.8,0
73.15,3360643,3384360,13.54,0
73.19,3360639,3384372,21.54,0
73.23,3360716,3384499,26.48,0
73.27,3360715,3384596,36.78,0
73.31,3360757,3384623,51.21,0
73.35,3360702,3384588,60.96,0
73.39,3360759,3384663,60.17,0
73.47,3360787,3384686,54.92,0
73.51,3360570,3384209,38.45,0
73.55,3360340,3383681,-17.53,1
73.59,3360350,3383631,-108.61,0
73.69,3360459,3383929,-180.11,0
73.73,3360586,3384218,-181.87,0
73.77,3360611,3384317,-113.24,0
73.81,3360636,3384365,-14.03,0
73.85,3360652,3384387,73.69,0
73.91,3360646,3384380,126.29,0
73.95,3360684,3384478,140.76,0
73.99,3360722,3384562,130.99,0
74.03,3360740,3384631,112.63,0
74.07,3360752,3384696,92.99,0
74.12,3360781,3384760,75.02,0
74.16,3360772,3384778,58.95,0
74.20,3360812,3384822,43.86,0
74.24,3360837,3384854,31.86,0
74.28,3360722,3384650,16.24,0
74.34,3360531,3384134,-24.79,1
74.38,3360448,3383927,-98.77,0
74.42,3360516,3384053,-173.97,0
74.46,3360536,3384166,-207.86,0
74.50,3360614,3384364,-185.45,0
74.56,3360683,3384551,-116.9,0
74.59,3360690,3384592,-28.36,0
74.64,3360722,3384600,49.31,0
74.67,3360725,3384623,98.26,0
74.72,3360771,3384701,117.32,0
74.76,3360867,3384890,120.48,0
74.80,3360846,3384905,119.63,0
74.84,3360814,3384960,109.04,0
74.88,3360856,3384991,85.33,0
74.92,3360862,3384973,58.0,0
74.96,3360896,3385052,35.4,0
75.00,3360914,3385098,20.68,0
75.04,3360810,3384950,5.85,0
75.08,3360639,3384540,-30.23,1
75.12,3360447,3384126,-101.86,0
75.18,3360470,3384134,-189.94,0
75.22,3360513,3384239,-247.0,0
75.26,3360618,3384441,-238.36,0
75.30,3360626,3384581,-167.89,0
75.34,3360733,3384726,-64.92,0
75.38,3360711,3384670,37.62,0
75.42,3360696,3384659,109.23,0
75.46,3360767,3384733,140.09,0
75.50,3360744,3384777,142.03,0
75.54,3360819,3384916,129.03,0
75.58,3360829,3384923,114.18,0
75.62,3360827,3384948,100.99,0
75.66,3360884,3385026,88.16,0
75.70,3360843,3385015,75.04,0
75.74,3360837,3385035,55.5,0
75.80,3360864,3385073,29.99,0
75.84,3360887,3385090,7.72,0
75.88,3360759,3384800,-14.17,1
75.92,3360574,3384408,-55.96,0
75.96,3360461,3384206,-126.64,0
76.00,3360489,3384275,-200.04,0
76.02,3360535,3384413,-234.76,0
76.06,3360517,3384506,-214.89,0
76.10,3360551,3384617,-155.56,0
76.14,3360482,3384516,-83.81,0
76.18,3360515,3384542,-22.97,0
76.23,3360485,3384516,19.05,0
76.27,3360539,3384560,46.21,0
76.31,3360506,3384611,64.52,0
76.35,3360562,3384716,77.9,0
76.39,3360574,3384796,90.67,0
76.45,3360590,3384808,103.19,0
76.49,3360601,3384793,111.16,0
76.53,3360609,3384895,111.77,0
76.57,3360650,3384908,106.21,0
76.61,3360621,3384910,95.84,0
76.65,3360510,3384699,71.76,0
76.67,3360347,3384292,19.6,0
76.71,3360238,3384045,-60.78,1
76.75,3360270,3384121,-141.52,0
76.79,3360371,3384283,-179.84,0
76.83,3360423,3384460,-154.54,0
76.87,3360461,3384531,-82.13,0
76.91,3360481,3384594,3.14,0
76.95,3360499,3384594,72.41,0
76.99,3360496,3384575,110.78,0
77.03,3360527,3384677,118.65,0
77.07,3360534,3384671,106.88,0
77.11,3360565,3384755,87.67,0
77.15,3360585,3384807,70.09,0
77.19,3360609,3384884,58.13,0
77.23,3360597,3384905,49.22,0
77.29,3360641,3384937,40.28,0
77.33,3360637,3384973,31.52,0
