Time (s)Time (s),Red,IR
1131.8541271.524,2810279,3081513
1131.8561271.564,2810194,3081075
1131.8961271.604,2810111,3080539
1131.9361271.644,2810105,2818046
1131.9761271.684,2809935,2817608
1132.0161271.724,2809803,2817109
1132.0611271.764,2809766,2816841
1132.1011271.804,2809774,2816757
1132.1411271.844,2809799,2816724
1132.1811271.884,2809802,2816676
1132.2211271.927,2809814,2816638
1132.2671271.967,2809895,2816714
1132.3071272.007,2810134,2817101
1132.3471272.047,2810463,2817632
1132.3871272.087,2810682,2818030
1132.4271272.132,2810791,2818225
1132.4711272.172,2810862,2818352
1132.5111272.212,2810958,2818569
1132.5511272.252,2811010,2818667
1132.5911272.292,2811043,2818706
1132.6311272.336,2811063,2818814
1132.6781272.376,2810693,2818483
1132.7181272.416,2809755,2817145
1132.7581272.456,2808334,2815157
1132.7981272.496,2807554,2814069
1132.8381272.542,2807157,2813134
1132.8831272.582,2806708,2811659
1132.9231272.622,2806567,2810158
1132.9631272.662,2807978,2809747
1133.0031272.702,2808472,2810634
1133.0431272.749,2808939,2812355
1133.0861272.789,2809626,2814183
1133.1261272.829,2811161,2817590
1133.1661272.869,2813336,2822185
1133.2061272.909,2815006,2826058
1133.2461272.949,2816374,2828727
1133.2911272.953,2817461,2830395
1133.3311272.993,2818219,2831078
1133.3711273.033,2818705,2831045
1133.4111273.073,2818847,2830851
1133.4511273.113,2819091,2831085
1133.4911273.153,2819338,2831358
1133.4951273.193,2819572,2831545
1133.5351273.233,2819768,2831670
1133.5751273.273,2819745,2831645
1133.6151273.313,2819783,2831663
1133.6551273.36,2819956,2831793
1133.71273.4,2819889,2831735
1133.741273.44,2819861,2831691
1133.781273.48,2819512,2831182
1133.821273.52,2819216,2830688
1133.861273.561,2819435,2830856
1133.9021273.601,2819805,2831282
1133.9421273.641,2819848,2831450
1133.9821273.681,2819533,2831320
1134.0221273.721,2818926,2831061
1134.0621273.764,2818423,2831020
1134.111273.804,2817969,2830917
1134.151273.844,2817577,2830859
1134.191273.884,2817249,2830855
1134.231273.924,2816972,2830935
1134.271273.968,2816692,2831023
1134.311274.008,2816365,2831049
1134.351274.048,2816136,2831025
1134.391274.088,2815760,2830662
1134.431274.128,2815296,2830207
1134.471274.173,2815804,2830693
1134.5141274.213,2817251,2832173
1134.5541274.253,2818107,2833126
1134.5941274.293,2818433,2833475
1134.6341274.333,2818796,2833709
1134.6741274.38,2819325,2833686
1134.7191274.42,2819909,2833723
1134.7591274.46,2820003,2833479
1134.7991274.5,2820022,2833040
1134.8391274.54,2820197,2832807
1134.8791274.58,2820369,2832682
1134.9231274.586,2820461,2832575
1134.9631274.626,2820562,2832535
1135.0031274.666,2820710,2832651
1135.0431274.706,2821081,2833068
1135.0831274.746,2821457,2833468
1135.1231274.793,2821738,2833757
1135.1261274.833,2821905,2833954
1135.1661274.873,2822016,2834102
1135.2061274.913,2822080,2834246
1135.2461274.953,2822152,3096510
1135.2861274.996,2822186,3096478
1135.3291275.036,2821998,3096285
1135.3691275.076,2821710,3095943
1135.4091275.116,2821550,3095738
1135.4491275.156,2821491,3095740
1135.4891275.198,2821425,3095693
1135.5341275.238,2821256,3095535
1135.5741275.278,2821109,3095413
1135.6141275.318,2820910,3095320
1135.6541275.358,2820665,3095250
1135.6941275.398,2820258,3095197
1135.7411275.438,2819802,3095085
1135.7811275.478,2819286,3094770
1135.8211275.518,2818832,3094444
1135.8611275.558,2818438,3094206
1135.9011275.599,2818230,3094109
1135.9411275.639,2817742,3093816
1135.9811275.679,2817044,3093219
1136.0211275.719,2816517,3092745
