Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC
7298,0.977612,58,273,1022,2.81728e+06,3.09881e+06
7338,0.977612,58,233,1022,2.81728e+06,3.09883e+06
7378,0.977612,58,193,1022,2.81728e+06,3.09887e+06
7418,0.977612,58,153,1022,2.81729e+06,3.09891e+06
7462,0.977612,58,109,1022,2.81731e+06,3.09892e+06
7502,0.977612,58,69,1022,2.81724e+06,3.09872e+06
7542,0.977612,58,29,1022,2.8171e+06,3.09833e+06
7582,0.977612,58,1011,1022,2.817e+06,3.09808e+06
7622,0.977612,58,971,1022,2.81698e+06,3.09803e+06
7662,0.977612,58,931,1022,2.81698e+06,3.09804e+06
7668,0.98973,59,757,1010,2.817e+06,3.09811e+06
7708,0.98973,59,717,1010,2.81704e+06,3.09828e+06
7748,0.98973,59,677,1010,2.81708e+06,3.0984e+06
7788,0.98973,59,637,1010,2.81709e+06,3.09843e+06
7828,0.98973,59,597,1010,2.8171e+06,3.09846e+06
7874,0.98973,59,551,1010,2.81712e+06,3.0985e+06
7914,0.98973,59,511,1010,2.81714e+06,3.09858e+06
7954,0.98973,59,471,1010,2.81716e+06,3.09862e+06
7994,0.98973,59,431,1010,2.81716e+06,3.09868e+06
8034,0.98973,59,391,1010,2.81718e+06,3.09873e+06
8078,0.98973,59,347,1010,2.81722e+06,3.09878e+06
8118,0.98973,59,307,1010,2.81724e+06,3.09881e+06
8158,0.98973,59,267,1010,2.81723e+06,3.09884e+06
8198,0.98973,59,227,1010,2.81725e+06,3.09886e+06
8238,0.98973,59,187,1010,2.81725e+06,3.0989e+06
8285,0.98973,59,140,1010,2.81726e+06,3.09891e+06
8325,0.98973,59,100,1010,2.81729e+06,3.09898e+06
8365,0.98973,59,60,1010,2.81728e+06,3.09899e+06
8405,0.98973,59,20,1010,2.81726e+06,3.09901e+06
8445,0.98973,59,990,1010,2.81726e+06,3.09899e+06
8487,0.98973,59,948,1010,2.81718e+06,3.09873e+06
8527,0.98973,59,908,1010,2.81704e+06,3.0983e+06
8567,0.98973,59,868,1010,2.81693e+06,3.09806e+06
8607,0.98973,59,828,1010,2.81692e+06,3.09804e+06
8647,0.98973,59,788,1010,2.81695e+06,3.09805e+06
8691,0.98973,59,744,1010,2.81693e+06,3.09809e+06
8731,0.98973,59,704,1010,2.81698e+06,3.09824e+06
8771,0.978464,58,766,1022,2.81702e+06,3.09834e+06
8811,0.978464,58,726,1022,2.81702e+06,3.09839e+06
8851,0.978464,58,686,1022,2.81704e+06,3.09843e+06
8893,0.978464,58,644,1022,2.81705e+06,3.09849e+06
8933,0.978464,58,604,1022,2.81711e+06,3.09861e+06
8973,0.978464,58,564,1022,2.81713e+06,3.09867e+06
9013,0.978464,58,524,1022,2.81713e+06,3.09869e+06
9053,0.978464,58,484,1022,2.81714e+06,3.09873e+06
9097,0.978464,58,440,1022,2.81714e+06,3.09876e+06
9137,0.978464,58,400,1022,2.81712e+06,3.09874e+06
9177,0.978464,58,360,1022,2.81707e+06,3.09871e+06
9217,0.978464,58,320,1022,2.8171e+06,3.09877e+06
9257,0.978464,58,280,1022,2.81713e+06,3.09886e+06
9297,0.978464,58,240,1022,2.81713e+06,3.09888e+06
9298,0.978464,58,239,1022,2.81714e+06,3.0989e+06
9338,0.978464,58,199,1022,2.81717e+06,3.09898e+06
9378,0.978464,58,159,1022,2.8172e+06,3.09905e+06
9418,0.978464,58,119,1022,2.8172e+06,3.09903e+06
9458,0.978464,58,79,1022,2.81709e+06,3.09873e+06
9502,0.978464,58,35,1022,2.81691e+06,3.09827e+06
9542,0.978464,58,1017,1022,2.81685e+06,3.09808e+06
9582,0.978464,58,977,1022,2.81682e+06,3.09807e+06
9622,0.978464,58,937,1022,2.81685e+06,3.09811e+06
9662,0.978464,58,897,1022,2.81689e+06,3.09818e+06
9703,0.984945,59,761,1015,2.81693e+06,3.09835e+06
9743,0.984945,59,721,1015,2.81697e+06,3.09848e+06
9783,0.984945,59,681,1015,2.81698e+06,3.09848e+06
9823,0.984945,59,641,1015,2.81696e+06,3.09849e+06
9863,0.984945,59,601,1015,2.81696e+06,3.09853e+06
9906,0.984945,59,558,1015,2.81699e+06,3.09861e+06
9946,0.984945,59,518,1015,2.817e+06,3.0987e+06
9986,0.984945,59,478,1015,2.81702e+06,3.09875e+06
10026,0.984945,59,438,1015,2.81703e+06,3.0988e+06
10066,0.984945,59,398,1015,2.81706e+06,3.09884e+06
10107,0.984945,59,357,1015,2.81708e+06,3.09891e+06
10147,0.984945,59,317,1015,2.81709e+06,3.09895e+06
10187,0.984945,59,277,1015,2.8171e+06,3.09899e+06
10227,0.984945,59,237,1015,2.81713e+06,3.09904e+06
10267,0.984945,59,197,1015,2.81715e+06,3.09907e+06
10307,0.984945,59,157,1015,2.81714e+06,3.0991e+06
10347,0.984945,59,117,1015,2.81714e+06,3.09913e+06
10387,0.984945,59,77,1015,2.81713e+06,3.09917e+06
10427,0.984945,59,37,1015,2.81714e+06,3.09917e+06
10467,0.984945,59,1012,1015,2.81707e+06,3.09894e+06
10514,0.984945,59,965,1015,2.81693e+06,3.09851e+06
10554,0.984945,59,925,1015,2.81685e+06,3.09832e+06
